#Mapping file for Large PMT in CD
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20250123.
#Have installed 17596 CD-LPMT, more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F
#CopyNo, LargeOrSmall(0=Large 1=Small), NorthOrSouth(0=North 1=South), CircleNo, PositionNo, UpOrDown(0=Up 1=Down), PMTType(1=H 2=NVVT_1 3=NVVT_2 4=S), GCU, Channel(0-2), X, Y, Z, Theta, Phi
0,0,0,62,1,0,1,1925,2,-920.361,-110.603,19365.0,2.7406,-173.1474
1,0,0,62,2,0,2,1748,2,-487.363,-788.527,19365.0,2.7406,-121.7189
2,0,0,62,3,0,1,1938,2,312.6295,-872.675,19365.0,2.7406,-70.2903
3,0,0,62,4,0,1,2046,2,877.2058,-299.68,19365.0,2.7406,-18.8617
4,0,0,62,5,0,1,1950,2,781.2283,498.9796,19365.0,2.7406,32.5668
5,0,0,62,6,0,2,1976,2,96.9699,921.8975,19365.0,2.7406,83.9954
6,0,0,62,7,0,1,2052,2,-660.309,650.6079,19365.0,2.7406,135.424
7,0,0,61,1,0,1,1925,0,-1288.78,-507.21,19365.0,4.0909,-158.5175
8,0,0,61,2,0,2,1748,1,-1001.88,-956.329,19365.0,4.091,-136.3325
9,0,0,61,3,0,1,1748,0,-406.988,-1323.85,19365.0,4.0909,-107.0889
10,0,0,61,4,0,2,1938,1,123.0261,-1379.56,19365.0,4.091,-84.904
11,0,0,61,5,0,1,1938,0,781.2737,-1143.6,19365.0,4.0909,-55.6603
12,0,0,61,6,0,2,2046,1,1155.291,-763.958,19365.0,4.091,-33.4754
13,0,0,61,7,0,1,2046,0,1381.221,-102.2,19365.0,4.0909,-4.2317
14,0,0,61,8,0,2,1950,1,1317.598,426.9231,19365.0,4.091,17.9532
15,0,0,61,9,0,1,1950,0,941.0805,1016.161,19365.0,4.0909,47.1968
16,0,0,61,10,0,2,1976,1,487.7271,1296.322,19365.0,4.091,69.3817
17,0,0,61,11,0,1,1976,0,-207.713,1369.332,19365.0,4.0909,98.6254
18,0,0,61,12,0,2,2052,1,-709.412,1189.564,19365.0,4.091,120.8103
19,0,0,61,13,0,1,2052,0,-1200.09,691.3685,19365.0,4.0909,150.0539
20,0,0,61,14,0,1,1925,1,-1372.35,187.04,19365.0,4.091,172.2389
21,0,0,60,1,0,2,5999,2,-1899.45,-328.712,19338.16,5.6926,-170.1818
22,0,0,60,2,0,2,5999,1,-1729.9,-850.533,19338.16,5.6926,-153.8182
23,0,0,60,3,0,2,5999,0,-1420.2,-1303.45,19338.16,5.6926,-137.4545
24,0,0,60,4,0,2,7323,0,-800.787,-1753.48,19338.16,5.6926,-114.5454
25,0,0,60,5,0,2,7323,1,-274.338,-1908.06,19338.16,5.6926,-98.1818
26,0,0,60,6,0,2,7323,2,274.3375,-1908.06,19338.16,5.6926,-81.8182
27,0,0,60,7,0,2,2964,2,800.7874,-1753.48,19338.16,5.6926,-65.4545
28,0,0,60,8,0,2,2964,1,1420.202,-1303.45,19338.16,5.6926,-42.5455
29,0,0,60,9,0,2,2964,0,1729.898,-850.533,19338.16,5.6926,-26.1818
30,0,0,60,10,0,2,2370,0,1899.448,-328.712,19338.16,5.6926,-9.8182
31,0,0,60,11,0,2,2370,1,1915.116,219.739,19338.16,5.6926,6.5455
32,0,0,60,12,0,2,2370,2,1678.52,947.9041,19338.16,5.6926,29.4546
33,0,0,60,13,0,2,3208,2,1343.473,1382.401,19338.16,5.6926,45.8182
34,0,0,60,14,0,2,3208,1,899.5856,1704.904,19338.16,5.6926,62.1818
35,0,0,60,15,0,2,3208,0,382.8191,1889.286,19338.16,5.6926,78.5455
36,0,0,60,16,0,2,5506,1,-382.819,1889.286,19338.16,5.6926,101.4545
37,0,0,60,17,0,2,5506,0,-899.586,1704.904,19338.16,5.6926,117.8182
38,0,0,60,18,0,2,3190,0,-1343.47,1382.401,19338.16,5.6926,134.1818
39,0,0,60,19,0,2,3190,1,-1678.52,947.9042,19338.16,5.6926,150.5454
40,0,0,60,20,0,1,3190,2,-1915.12,219.739,19338.16,5.6926,173.4546
41,0,0,59,1,0,1,6428,0,-2457.26,0.0,19278.02,7.264,180.0
42,0,0,59,2,0,2,6185,2,-2395.65,-546.792,19278.02,7.264,-167.1428
43,0,0,59,3,0,2,6185,1,-2213.92,-1066.17,19278.02,7.264,-154.2857
44,0,0,59,4,0,2,6185,0,-1921.16,-1532.08,19278.02,7.264,-141.4285
45,0,0,59,5,0,2,2986,2,-1532.08,-1921.16,19278.02,7.264,-128.5715
46,0,0,59,6,0,2,2986,1,-1066.17,-2213.92,19278.02,7.264,-115.7143
47,0,0,59,7,0,2,2986,0,-546.792,-2395.65,19278.02,7.264,-102.8572
48,0,0,59,8,0,2,4085,2,0.0,-2457.26,19278.02,7.264,-90.0
49,0,0,59,9,0,2,4085,1,546.792,-2395.65,19278.02,7.264,-77.1428
50,0,0,59,10,0,2,4085,0,1066.166,-2213.92,19278.02,7.264,-64.2857
51,0,0,59,11,0,2,5848,2,1532.077,-1921.16,19278.02,7.264,-51.4285
52,0,0,59,12,0,2,5848,1,1921.164,-1532.08,19278.02,7.264,-38.5715
53,0,0,59,13,0,2,5848,0,2213.915,-1066.17,19278.02,7.264,-25.7144
54,0,0,59,14,0,2,6128,2,2395.652,-546.792,19278.02,7.264,-12.8571
55,0,0,59,15,0,2,6128,1,2457.261,0.0,19278.02,7.264,0.0
56,0,0,59,16,0,2,6128,0,2395.652,546.7919,19278.02,7.264,12.8571
57,0,0,59,17,0,2,2524,0,2213.915,1066.165,19278.02,7.264,25.7143
58,0,0,59,18,0,2,2524,1,1921.164,1532.077,19278.02,7.264,38.5714
59,0,0,59,19,0,2,2524,2,1532.077,1921.164,19278.02,7.264,51.4286
60,0,0,59,20,0,2,3485,0,1066.165,2213.915,19278.02,7.264,64.2857
61,0,0,59,21,0,2,3485,1,546.7918,2395.652,19278.02,7.264,77.1429
62,0,0,59,22,0,2,3485,2,0.0,2457.261,19278.02,7.264,90.0
63,0,0,59,23,0,2,5506,2,-546.792,2395.652,19278.02,7.264,102.8571
64,0,0,59,24,0,2,3195,2,-1066.17,2213.915,19278.02,7.264,115.7144
65,0,0,59,25,0,2,3195,1,-1532.08,1921.164,19278.02,7.264,128.5715
66,0,0,59,26,0,2,3195,0,-1921.16,1532.077,19278.02,7.264,141.4285
67,0,0,59,27,0,2,6428,2,-2213.92,1066.165,19278.02,7.264,154.2858
68,0,0,59,28,0,2,6428,1,-2395.65,546.7917,19278.02,7.264,167.1429
69,0,0,58,1,0,2,5452,2,-2981.99,-133.921,19203.39,8.8354,-177.4286
70,0,0,58,2,0,2,5452,1,-2910.15,-664.223,19203.39,8.8354,-167.1429
71,0,0,58,3,0,2,5452,0,-2744.78,-1173.18,19203.39,8.8354,-156.8571
72,0,0,58,4,0,2,5026,0,-2491.19,-1644.42,19203.39,8.8354,-146.5714
73,0,0,58,5,0,2,5026,1,-2157.54,-2062.82,19203.39,8.8354,-136.2857
74,0,0,58,6,0,2,5026,2,-1754.53,-2414.91,19203.39,8.8354,-125.9999
75,0,0,58,7,0,2,3608,0,-1295.14,-2689.39,19203.39,8.8354,-115.7143
76,0,0,58,8,0,2,3608,1,-794.118,-2877.42,19203.39,8.8354,-105.4286
77,0,0,58,9,0,2,3608,2,-267.573,-2972.98,19203.39,8.8354,-95.1429
78,0,0,58,10,0,2,3245,0,267.5725,-2972.98,19203.39,8.8354,-84.8572
79,0,0,58,11,0,2,3245,1,794.1177,-2877.42,19203.39,8.8354,-74.5714
80,0,0,58,12,0,2,3245,2,1295.14,-2689.39,19203.39,8.8354,-64.2857
81,0,0,58,13,0,2,6466,2,1754.534,-2414.91,19203.39,8.8354,-54.0
82,0,0,58,14,0,2,6466,1,2157.537,-2062.82,19203.39,8.8354,-43.7143
83,0,0,58,15,0,2,6466,0,2491.195,-1644.42,19203.39,8.8354,-33.4285
84,0,0,58,16,0,2,5796,2,2744.783,-1173.18,19203.39,8.8354,-23.1429
85,0,0,58,17,0,2,5796,1,2910.152,-664.223,19203.39,8.8354,-12.8571
86,0,0,58,18,0,2,5796,0,2981.987,-133.921,19203.39,8.8354,-2.5714
87,0,0,58,19,0,2,5053,0,2957.978,400.6851,19203.39,8.8354,7.7143
88,0,0,58,20,0,2,5053,1,2838.897,922.4131,19203.39,8.8354,18.0
89,0,0,58,21,0,2,5053,2,2628.571,1414.494,19203.39,8.8354,28.2857
90,0,0,58,22,0,2,5464,0,2333.761,1861.112,19203.39,8.8354,38.5714
91,0,0,58,23,0,2,5464,1,1963.942,2247.912,19203.39,8.8354,48.8571
92,0,0,58,24,0,2,5464,2,1531.0,2562.463,19203.39,8.8354,59.1429
93,0,0,58,25,0,2,3151,0,1048.851,2794.654,19203.39,8.8354,69.4286
94,0,0,58,26,0,2,3151,1,532.9909,2937.022,19203.39,8.8354,79.7143
95,0,0,58,27,0,2,3151,2,0.0,2984.992,19203.39,8.8354,90.0
96,0,0,58,28,0,2,4260,2,-532.991,2937.022,19203.39,8.8354,100.2857
97,0,0,58,29,0,2,4260,1,-1048.85,2794.654,19203.39,8.8354,110.5714
