#Mapping file for Veto PMT in WP Sphere and Bottom PMTs.
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20241223.
#A total of 2399 PMTs were actually installed in Sphere and 5 PMTs were installed in Bottom , more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F.
#CopyNo, SphereOrWall(0=Sphere 1=Wall), NorthOrSouth(0=North 1=South), LayerNo, WindowNo, PositionNo, PMTType(1=H 2=NVVT_1 3=NVVT_2 4=S), LargeOrSmall(0=Large 1=Small), GCU, Channel(0-2), X, Y, Z, Theta, Phi
50000,0,0,12,1,1,2,0,2411,0,-1487.68,-114.12,20502.0,4.1624,-175.6134
50001,0,0,12,2,1,2,0,6101,2,-1205.3,-879.478,20502.0,4.1624,-143.8827
50002,0,0,12,2,2,2,0,6101,1,-576.011,-735.794,20502.0,2.6096,-128.0554
50003,0,0,12,3,1,2,0,2816,0,-351.185,-1450.14,20502.0,4.1624,-103.6134
50004,0,0,12,4,1,2,0,3351,2,463.9748,-1418.08,20502.0,4.1624,-71.8827
50005,0,0,12,4,2,2,0,3351,1,348.5799,-875.192,20502.0,2.6309,-68.2831
50006,0,0,12,5,1,2,0,2454,0,1270.64,-782.114,20502.0,4.1624,-31.6134
50007,0,0,12,6,1,2,0,3462,2,1492.052,3.0548,20502.0,4.1624,0.1173
50008,0,0,12,6,2,2,0,3462,1,940.0737,61.0701,20502.0,2.6309,3.7169
50009,0,0,12,7,1,2,0,2443,0,1136.484,966.7639,20502.0,4.1624,40.3866
50010,0,0,12,8,1,2,0,5068,2,458.1642,1419.97,20502.0,4.1624,72.1173
50011,0,0,12,8,2,2,0,5068,1,232.4177,912.9349,20502.0,2.6309,75.7169
50012,0,0,12,9,1,2,0,2377,0,-568.254,1379.607,20502.0,4.1624,112.3865
50013,0,0,12,10,1,2,0,2312,2,-1208.89,874.5349,20502.0,4.1624,144.1173
50014,0,0,12,10,2,2,0,2312,1,-796.432,503.1547,20502.0,2.6309,147.7169
50015,0,0,11,1,1,2,0,2411,2,-2747.16,297.4159,20363.64,7.7275,173.8211
50016,0,0,11,1,2,2,0,2411,1,-2747.2,-297.428,20363.64,7.7276,-173.8209
50017,0,0,11,1,3,2,0,0936,0,-3528.92,479.1188,20240.4,9.979,172.2683
50018,0,0,11,1,4,2,0,0936,2,-3528.98,-479.188,20240.4,9.9792,-172.2673
50019,0,0,11,2,1,2,0,2478,0,-2397.32,-1374.13,20363.64,7.7275,-150.1789
50020,0,0,11,2,2,2,0,6101,0,-2047.71,-1855.39,20363.64,7.7276,-137.8209
50021,0,0,11,2,3,2,0,2478,2,-3136.57,-1686.63,20240.4,9.979,-151.7317
50022,0,0,11,2,4,2,0,2478,1,-2573.35,-2461.95,20240.4,9.9792,-136.2674
50023,0,0,11,3,1,2,0,2816,2,-1131.78,-2520.8,20363.64,7.7275,-114.179
50024,0,0,11,3,2,2,0,2816,1,-566.061,-2704.66,20363.64,7.7276,-101.8209
50025,0,0,11,3,3,2,0,2910,0,-1546.16,-3208.14,20240.4,9.979,-115.7317
50026,0,0,11,3,4,2,0,2910,2,-634.781,-3504.34,20240.4,9.9792,-100.2673
50027,0,0,11,4,1,2,0,2470,0,566.0611,-2704.62,20363.64,7.7275,-78.179
50028,0,0,11,4,2,2,0,3351,0,1131.804,-2520.84,20363.64,7.7276,-65.8209
50029,0,0,11,4,3,2,0,2470,2,634.8264,-3504.26,20240.4,9.979,-79.7317
50030,0,0,11,4,4,2,0,2470,1,1546.25,-3208.18,20240.4,9.9792,-64.2673
50031,0,0,11,5,1,2,0,2454,2,2047.686,-1855.36,20363.64,7.7275,-42.179
50032,0,0,11,5,2,2,0,2454,1,2397.359,-1374.14,20363.64,7.7276,-29.8209
50033,0,0,11,5,3,2,0,6007,0,2573.335,-2461.86,20240.4,9.979,-43.7317
50034,0,0,11,5,4,2,0,6007,2,3136.665,-1686.61,20240.4,9.9792,-28.2673
50035,0,0,11,6,1,2,0,5890,0,2747.164,-297.416,20363.64,7.7275,-6.1789
50036,0,0,11,6,2,2,0,3462,0,2747.204,297.4284,20363.64,7.7276,6.1791
50037,0,0,11,6,3,2,0,5890,2,3528.918,-479.119,20240.4,9.979,-7.7317
50038,0,0,11,6,4,2,0,5890,1,3528.981,479.1877,20240.4,9.9792,7.7327
50039,0,0,11,7,1,2,0,2443,2,2397.319,1374.128,20363.64,7.7275,29.8211
50040,0,0,11,7,2,2,0,2443,1,2047.71,1855.39,20363.64,7.7276,42.1791
50041,0,0,11,7,3,2,0,2501,0,3136.573,1686.63,20240.4,9.979,28.2683
50042,0,0,11,7,4,2,0,2501,2,2573.346,2461.954,20240.4,9.9792,43.7327
50043,0,0,11,8,1,2,0,2466,0,1131.78,2520.802,20363.64,7.7275,65.8211
50044,0,0,11,8,2,2,0,5068,0,566.0614,2704.656,20363.64,7.7276,78.1791
50045,0,0,11,8,3,2,0,2466,2,1546.165,3208.144,20240.4,9.979,64.2683
50046,0,0,11,8,4,2,0,2466,1,634.7805,3504.337,20240.4,9.9792,79.7327
50047,0,0,11,9,1,2,0,2377,2,-566.061,2704.615,20363.64,7.7275,101.8211
50048,0,0,11,9,2,2,0,2377,1,-1131.8,2520.836,20363.64,7.7276,114.179
50049,0,0,11,9,3,2,0,2837,0,-634.826,3504.256,20240.4,9.979,100.2683
50050,0,0,11,9,4,2,0,2837,2,-1546.25,3208.183,20240.4,9.9792,115.7327
50051,0,0,11,10,1,2,0,5943,0,-2047.69,1855.357,20363.64,7.7275,137.8211
50052,0,0,11,10,2,2,0,2312,0,-2397.36,1374.141,20363.64,7.7276,150.1791
50053,0,0,11,10,3,2,0,5943,2,-2573.34,2461.861,20240.4,9.979,136.2683
50054,0,0,11,10,4,2,0,5943,1,-3136.66,1686.612,20240.4,9.9792,151.7327
